project_id,project_name,display_name,total_transaction_count,total_gas_fees
ZtwRwweUfJxkM3rtVoIfvvOaqHRc7CGlSCAKE8VgmN0=,aerodrome-finance,Aerodrome Finance,1057424066,1643.9331990688697
pWEQHj4IsxU8lx2EDLJpphYaGAvw/yRps3vgTbVCXjQ=,uniswap,Uniswap,330794251,3901.993729915372
cfmwZDvctHcadAj22c5ryMVMY+DoYwU6xVsCPRwFuec=,gfx-labs,gfx labs,198255094,2554.6194467502855
bHGrs5wFQsPVTRZ9AALMgCizZwlL1BrL6iFLaIo9F2k=,velodrome,Velodrome,177538231,160.18520187267302
NMwxMeqwLAUieJgJHRyjvE6q/xw/KfE7em6oi9U1aRc=,xen-crypto-faircrypto,Xen Crypto,168459852,10955.979771678263
hXft30qN2XyV9hhEMZQh4S7OA+jytIsPLB9IP6Taw78=,virtual-protocol,Virtuals Protocol,122072506,294.20253933377063
cYKtZm5LcO+lBzh/EHUjfUxeT0RV+1rhpsH/ZXkfwms=,pancakeswap,PancakeSwap,98848331,48.48881766112401
jhTJFpXpZUW/tw3mSJcZqgAZPsspzU6QyDYEb+bxe+0=,kyo-finance,Kyo Finance,81449952,100.42353887096502
o+HSkDisJ4Me0rmZT0iLKjKyUD8JxouPc31pw3ti4P8=,layer-zero,LayerZero,66690141,26.783876889780036
sPO1pl4Y+FnbbMxaMnMwDEGVxZFJzf6bGUNniLdJcaU=,zora,Zora,65272475,209.89657550089098
E9H3Htqh4/dCGgu9GUI+ksk7cayGewmtONFiBQWlveo=,dexalot,Dexalot,62868335,25.810023558272974
8ranj8ZjbHqnVkAyhSNS9HAKO0VN/Tb34jZdBROI788=,mint-blockchain,Mint Blockchain,61593452,22.132736420945363
iwWa+M1zV0b5P/oF7SOTjZCXO312To8Vn/msNumIXUo=,stackup,Stackup,60013188,1240.948799067906
1tglFLCPO1i0woe4TW7pBm1iMqrhlWJ1cv2L/5b0VUk=,eth-infinitism-account-abstraction,Infinitism (ERC-4337) - Account Abstraction,37300013,1480.971376575374
yBTsqg28U+BoAz6n48dJzWbCDuQGBnsZ1srW1qhIJ10=,sake-finance,Sake,34841874,30.002378761471387
gBq7Wl0q0X+/hAl3qY/vtLirLXpwMoCndZ8i/B/6wd0=,safe-global,Safe,32985407,24.90511176838574
hE1BjGS8I9OXjnYATSkRnNJlsItBXO+CKXU6UPKJlRQ=,aave,Aave,28169460,13.786943081674204
Jpscljo0tkzVDYKwVNnTSuR+AFUyy4EHg4AWd+Mdnd4=,hyperlane-xyz,Hyperlane,25672166,42.182259064727916
8F71TphcQ+H6xUIi4Wgy77x8FmEKiV2lkhO7bpWlxU0=,avantis-labs,Avantis,21250258,69.62475255846839
5TUMW7BunipNIyPtlxBlNbrCHFMH4sRoMuly6BLtj44=,sonex,Sonex,20675563,93.50529729477873
hHje/yl10ng5XbAXgyeDEq3hxmOkjscMbS5XNqeAg7Q=,worldcoin,Worldcoin,19920652,302.9019306555511
h650Z9M0g9b9eEREc+Hoo5gLiHYGHPV8HTnHz6HeDJE=,layer3xyz,Layer3,19186850,43.813678807163775
v9C8yfcPG3QTWruewgVAij9YK5/W6p+8H4kaTIllhjE=,sushi,Sushi,17678607,89.9252053849985
7CbZT+Alw8Biv6iCgptzNOvAwOUFg3FBfHQ/Msuw4no=,pyth-network,Pyth Network,17551984,1.4095561964585464
