project_id,op_atlas_id,display_name,metric_name,measurement_period,amount
g2gW16kX/8gl4n71esfphgWmt4r2COs4Bc9cGM9025Q=,0x7262ed9c020b3b41ac7ba405aab4ff37575f8b6f975ebed2e65554a08419f8f4,Sablier,gas_fees__may_2025,May 2025,0.0485434364584173
+scaewfadzhdFvLEjEeUT+8dLij4Cy6l7Y0AfHFExJA=,0x2bdfa034cf1e853db8ed4b30531270c7a62d66550cd23383819e816abb234f0a,Cash Convert,gas_fees__may_2025,May 2025,3.627180175594e-06
jB/Odn2EzRAIVyyhY7eTBdOtrWdBQr1Bn9QFSaJc6uQ=,0xc6203aeab9c0b7346ca9bcb36a2db50c7823908fd66ad61913a53ad6dbc77192,ZKP2P,gas_fees__may_2025,May 2025,0.0105848852094082
xyqCuzyp2siN+L8QgwpvSjTruF2y+tvB++HwqdWDFXY=,0xa1f96576ad998e804140caccd478bae81b8b1059a107166df87b59fbf42c9e4a,OnChainGM,gas_fees__may_2025,May 2025,0.091197243141848
iHkkzr7r4TtJl1Pe3jRW6Le1xzeaou/GJe/x5F+VKcA=,0x5614d129eba060ce7d224e8e8f9f29aeddfdb572b0dd45edc81f18f5307bc01a,Send,gas_fees__may_2025,May 2025,0.000917823165494
Qh14iOZBPtSPGbuqtJ8wIL11rSdu0gBx6RvzUt9V9sI=,0x913ca97cfc8b587734059e4df9cc6de28ef590727e13e1b30ae9a57bea881731,April Token,gas_fees__may_2025,May 2025,2.353098344186e-06
23XIt7EgzQNc2AdcEzTg7GbjT5kKY1lNFfmcGQvrkWA=,0xefaeef1446de875ab6e50d31c8dbe776f99d884cb8cb68d50b1384067e4aeb6b,Synapse Protocol,gas_fees__may_2025,May 2025,3.567020614683335
NdwYMf5FYV0V3mi7zOJ4ABpqc2klQTCimnNKCqvZ4z0=,0x491ffd3c2e4c25ab7fbdbefe0f5fc8dc2beee5ab801287b9c6c93c9c3c810463,SwapMode,gas_fees__may_2025,May 2025,0.0007476871999707
qpgChJsGqtFnDQQU8CdZ8Ab5N/OjV4xdwEw5irdZl4A=,0xdba6f6be6f7cddd6b7f291292ab4179ad4dbe92fc8a85612f76dc67fc480a8a9,LasMeta,gas_fees__may_2025,May 2025,0.0170653904598561
rxrN8HnLLV8SOP3md3NfXpntywh7F7n5fuRMqFB3Upo=,0x4288aacdda65af69c03b2c9b9d057e2b93ed1b7671e481b03c6a7b33349d2365,Aerodrome Finance,gas_fees__may_2025,May 2025,237.1504723869627
cAaBVZiIeQZu4fS3TLKB2SgqPCHj7MtzVq27nQZkmS8=,0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,Exa App,gas_fees__may_2025,May 2025,0.1370597825564465
fmFqLtFVrR1bA9bONSlNrblHhlZFJg9LXJMS+r2bX6Q=,0x40cda7edf27894d647d9433ded29290966f5c258dade2c3ea36427fccf0ef3c9,Veil Cash,gas_fees__may_2025,May 2025,0.0084652828776292
x9MZObEzydNAk1HPdRO8azvLIkNL0gAIgOIvKthPIbs=,0x808b31862cec6dccf3894bb0e76ce4ca298e4c2820e2ccbf4816da740463b220,Fractal Visions,gas_fees__may_2025,May 2025,0.7690903093775345
u38XduipVR3L+BAGZ6k4tN4efhqF4F08LlUsn93+ftA=,0x33f99467bb08ce97fc0829a766e06555c7a7c6870db71a13d82241ecd186406a,Dark Forest MUD,gas_fees__may_2025,May 2025,0.0046191255593816
Xrci3TfxGk1fFof+fNzWx6Had1yDlmU1CoHHRvzLMGo=,0x7fd813000c03bd11fdf3ded76a3b46db355218c72947acea7f14871a5b0a9258,Satoshi's Secret,gas_fees__may_2025,May 2025,0.0001027291246342
XfpYvFk/xJ0pvTt79xWtRwuMnekQrcIH2Mflz97Lo3E=,0x2a2d2dbfa03619094fbeb6474776f2f3b5f6be443c8576abc6f3caa2c18dc45e,Morkie,gas_fees__may_2025,May 2025,0.035516148771937
nrBN5UU9cny2/KPrQFVI7k6AOnIRr7gYok3UIwdpq6c=,0x3ecbf66c1b21342b26acb0f7d4c6b8bbbef168ffafff3f425de3503fd8dfa535,Superfluid,gas_fees__may_2025,May 2025,0.682546316933156
46oGoJxfh3hgKRcdb1vV4roA6oGVgyRXbycfPk/Q5x8=,0xe6371e0b190ff5db00617519599cbbafe719db0386e42a0af106b8c7f9161b63,NERZO,gas_fees__may_2025,May 2025,0.0011942878361486
bDxpkfd5t/ov2xAQJgRxa1+8NHWM85j0W90gc6Nls1c=,0xda8c593717693ef30f5c62fc2689709784324cfb9b5fe92c9db3a47f596791e5,Morpho ,gas_fees__may_2025,May 2025,0.2589492489490015
Vbt0Je/QVMzwz2kXjZhu4hCHrfa5JmL17azwgy9pDRY=,0xc938557155993da8f33857e52d7deb04421d1bb341fc24216563aae64fe32d36,BSX,gas_fees__may_2025,May 2025,0.2908592680033398
RpqNGjYQMqF5P/s1gl0fiuJlQg1yzYe/dq4qdwIDQI0=,0xbd0a2132830ab98440f052dd378cfad9cc3133bd0fa226fd485da2540179b458,Rubic,gas_fees__may_2025,May 2025,0.0266362150095327
GWdNcyHkzu7+xRMW80zhzqlB3ibFuu/eTa60/F1PHL4=,0x8b480f19bf914a4f811346b85a9410af55aa52622b745cbc46d4507c28838821,TITLES,gas_fees__may_2025,May 2025,3.468069750178e-06
5pKMLWfNkmCqGNkDWMXHeyYR+9Uc3EOVJRd+EG+ULsc=,0x38c38455bb0fd71d2929fcf799279569ab5f5c5d3e1f92f8642ce87aa25accdf,Decent.xyz,gas_fees__may_2025,May 2025,0.0251033662302491
imahnjIpbGgSkNyqkOjhlczoUga8ECPoEpirrLs68jQ=,0xbcb5c437d5347be21add3972512679054416805274f80e85ab8053ae79340a69,Ionic Protocol,gas_fees__may_2025,May 2025,0.0836580003144001
Lgm8mST2VJg3Qtcvrd3ChAbGOEorxtFzO+k9eyJMgzA=,0xe13ef8130233ba5feca029110f3abf30cb33f7efe2d915ba7e536200b67fe0bf,Glo Dollar,gas_fees__may_2025,May 2025,0.0012945420419442
mJ8HpBumrV08sD+uCnw4RzSnZ4GFmxhbuVqyZgSy1s4=,0x7f0e98c70d1401fb100dc804f28743bb567a2fee12315f52300113df514b7bd3,SuperBoring,gas_fees__may_2025,May 2025,0.0198488315372184
4eG8e99ZsDuoWGE267Yjrg+ltV3AFw7p3wWJXmrJWKc=,0x6371518c95cfa543514e01a77d470c695fac36691cffa3a45e992b2c0cc6ba72,Avantis ,gas_fees__may_2025,May 2025,0.1092073355537938
D9n+rXQGt9BVQ/3Ta/BbgMaWPiAH0K+6s+mPnoVHH6E=,0xf87906563da69538c969ba438f127ce5f2196e76c84c9026ab6dafc4280b6be3,PHI,gas_fees__may_2025,May 2025,0.6073960928376633
xIbbe0c5UuvK+FcT9NA6+83THJRxj1w9FnFI1PaYAGo=,0x82edc3ac2a03da21c5a6033159ba8e97aab2f61dc5d1d9813929fea6d6c35362,Superform,gas_fees__may_2025,May 2025,0.4465418458909331
LhmNJDpUL4rqmFhVZn3LA/7JHVuRJ56GF9HoGUUhzt0=,0xff350d81524a79a1062f5f4977b45406b822fb4f150ba5a8516b0edf876add0e,Hermes,gas_fees__may_2025,May 2025,0.0003305651735227
Peg1TbQF7DkRiJx5Kb1lOlbwr9lRiotJWzh5acZ06Z8=,0xdc8c675a16e135a3518852b240cde44e9105622473623bf86725a9abb8d18847,Get Mint,gas_fees__may_2025,May 2025,0.0009285381658627
