onchain_builder_project_id,devtooling_project_id,dependency_source
o+HSkDisJ4Me0rmZT0iLKjKyUD8JxouPc31pw3ti4P8=,y7poby3XN/G2jUZCQF/NyXvyI/WbhpxmkmO+53p3FtA=,PIP
dqzR9ewlyPu0+Aje2ltI9fv6Rfg/8FCOm/oAC3Ni4Yo=,pr9u5w1LqcK44g1o2RcI9ztDGB8nZTkJYMOq7e8pvac=,NPM_TRANSITIVE
Q3otD2dVMuz3OUvC1yAKkIrl9KIt8ksR1rOXG/vLvfI=,D/EXUXnX8dbOCU6qXNGAgNxhLOdodwJNNjMPeLUHSu4=,NPM
ZtwRwweUfJxkM3rtVoIfvvOaqHRc7CGlSCAKE8VgmN0=,NGbZU3ScsbMUnmgUnRJvqBXFPRljZDbDYozQSJw1Vh0=,NPM
0bo+FpuyeDxXcG5AQW0QWClfmYYQ2G9yEnOqxofAKys=,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,NPM
f0ViLPH52qYlD4KiwHpElzx60i+1cXavyYjlA6MEDh0=,OhSYsbVtaKOxdKm1wJ5WpNfFwiQtMhvVqx11g04Dj6s=,NPM
om+w927v3zYcmk77AShf/wH4sac6MkhpIWBW0H/wYkE=,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,NPM
Te2nZaFW2M/6DMbfuJE3J0ahxI8d+hHBZa6GyGeq7E8=,+PfbGQq2fXc65J+R0ni5deEPvSbqCGwIUSGfsnt3swM=,NPM
jcUDyxHNXWzjYk5a/zXuShEfIvBto8zfQ0k8Q8BMpao=,JEGKohqd4SMdF2XsPQx53SuYckF5GP2RrdX9vLzovBk=,NPM
pWEQHj4IsxU8lx2EDLJpphYaGAvw/yRps3vgTbVCXjQ=,qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,NPM
ZzH9XQNZ7nWOlugpkz8GaQQEmQzx1rKxaPrvhJ+l87Y=,+PfbGQq2fXc65J+R0ni5deEPvSbqCGwIUSGfsnt3swM=,NPM
cYKtZm5LcO+lBzh/EHUjfUxeT0RV+1rhpsH/ZXkfwms=,pr9u5w1LqcK44g1o2RcI9ztDGB8nZTkJYMOq7e8pvac=,NPM_TRANSITIVE
p3mu9598KidLIbo8g8ZW2jgJjlv1JxF5pAooOzmYIiw=,wpZkDSZkSrAf85BQoNpzQpmnDcWdnN/5GFtHUPsa0aM=,NPM
5TUMW7BunipNIyPtlxBlNbrCHFMH4sRoMuly6BLtj44=,JEGKohqd4SMdF2XsPQx53SuYckF5GP2RrdX9vLzovBk=,NPM
