project_id,project_name,display_name,fork_count,star_count,num_packages_in_deps_dev
qG8wMwZc0z2iMNGmqEbE0yJCaHgGkvQgKL7w5NNjr2E=,0x939241afa4c4b9e1dda6b8250baa8f04fa8b0debce738cfd324c0b18f9926d25,OpenZeppelin Contracts,956,2770,51
D/EXUXnX8dbOCU6qXNGAgNxhLOdodwJNNjMPeLUHSu4=,0xcc8d03e014e121d10602eeff729b755d5dc6a317df0d6302c8a9d3b5424aaba8,Solidity,697,2524,20
sAJe5XOXOz2+XTpjy2Y/P47RN0wzh0eMSwdsAYLzm34=,0x4562c0630907577f433cad78c7e2cc03349d918b6c14ef982f11a2678f5999ad,Foundry,537,1685,13
jYjf3SP3IiJ9lfEBt7gj8Me79zJFbihTR+zuHZXuQPA=,0x9151666888d0ca532a529be98a50d2eb992988117e202163f865fa9a27eb7149,Solady,234,1544,4
cMvqc/MCp82+XAAIkdS+Ee7CD3MkLQwgO5QBbblIO5g=,0x7f330267969cf845a983a9d4e7b7dbcca5c700a5191269af377836d109e0bb69,IPFS,324,1417,176
PyhUZNx6BtNb32p2YMEx2h6WrGOesDqk/rV1nuWAE3I=,0x670a2982f6d7786b58a8399bcabc23246365b21e533a97945e055791fc235e64,Hardhat,291,1192,81
NTbiwULtHzjj7Tn+vUs7rXkDdyrSbqHsoJ2Cxe71zp4=,0x2ccf4b9bd6ed894c10befd9fe00c467c4bfd84ff057ee956ab708259cfa845a9,CodeTracer,19,1056,0
DcuCQqzp4PkExNi9HdL/D3xoGk+8Egelwnj2kL+Fw7c=,0xdf1bb03d08808e2d789f5eac8462bdc560f1bb5b0877f0cf8c66ab53a0bc2f5c,Rust Libp2p,218,876,108
6bUEGWtffrx4mCWJv1FdyFtqQDedZHE9cZ3NmrfOmq4=,0x663e4d25ca3f327365240471b4831ea3c989cb132bbf6ae8f5c1e15268591795,Blockscout open-source block explorer,609,863,1
kIyB4KSX790MWeIzhuzNRuURff8uRN3K7uEmYc+PuqA=,0x154a42e5ca88d7c2732fda74d6eb611057fc88dbe6f0ff3aae7b89c2cd1666ab,🏗️  Scaffold-ETH 2,588,851,2
