project_id,project_name,display_name,transaction_count,active_days,is_eligible
rxrN8HnLLV8SOP3md3NfXpntywh7F7n5fuRMqFB3Upo=,0x4288aacdda65af69c03b2c9b9d057e2b93ed1b7671e481b03c6a7b33349d2365,Aerodrome Finance,1193027920,181,True
5/9fRbVoDF7pHwBdiMbNUbKhidEt/12Ojt9f8cWoZnQ=,0x08df6e20a3cfabbaf8f34d4f4d048fe7da40447c24be0f3ad513db6f13c755dd,Velodrome Finance,526633231,181,True
Jr4krZ4lp1dMiTRDwmF2R9Hw4mF3rsukcBCM4pnF/fc=,0x9d9162fac637991d2a56da8fbe03dba24c87eb82d47c7a00b921e39e956f8a9d,Uniswap on Superchain (Oku),198395323,181,True
SCZCX5l1VjxXvT0+wTXXjrDT3akiS4ByhWo7bFnRxkU=,0x1ac8413aaf8110410b9447af27251ba89311f5ec4e2d289006e834b122a44dbf,PancakeSwap,144399528,181,True
RxZsvgAlu4U6NJPHoDaURU2dSy/x7ey1UKzAk3pahTE=,0x2c41bf7b4d36a344881581e20ecb2929d38c3415fffa4bf65f81ae049dfb2e72,PUF,95193199,181,True
aSaPoGvCksiKFQcgA/PPtFtHJ59WMM+sGztS1bV5Hl4=,0x5958eb35cf4d4b8871924adc5e6272eff2ac701e368ca6ad043ee486cce9e223,Kyo finance,83954098,181,True
HgZEmwMqbOcnLVW065exx9nhiBr6eoEA2any9TRsGfc=,0x780cf3d5aa4e3c94b8a4157f4b06a3f92ebcc20813585e20e3fe0271bf76b7a9,Virtuals Protocol,77951063,181,True
VsbnIqH0Z8ErW7VixsMTGcLVf45E645bcxAVcD/KZT0=,0x3061b642db56c507e265f03029735b0413a613bda43456a31e78128baeb18754,Aave,59845313,181,True
J0XRgzUEfqUaJG2eQgi+1n49zo66RSLI2qz/I8B6mVI=,0x9fb539aa3ddb63cda1c29b50fbeaa6071f290926ce10f3d224233577b823454e,UNO,55669987,181,True
MSfDkUunLKtfuMRdZuSxuemESQuIWKFCh1O6ySIEUs8=,0xb98778ca9ff41446e2bc304f7b5d27f0fa7c2bcd11df19e22d1352c06698a1f6,Account Abstraction - ERC-4337,53395363,181,True
cTfk+RW4AUsig6i213MsTu+SdMtKCv63qOLCX1M091g=,0x40ee6048c99aefd288f6133db207849d0951fe6b62afa1cca0db5a4ad7f558de,ORO,44362415,181,True
EYypPkFXU/+CU//RUQ9c1LLDXp+cxt1900KeelqP6/4=,0x250065e82e6a2fd0127f0f7c7e0df7eb305810bd9796f72aa28a0c7f2c71ae08,Relay Protocol,43983467,181,True
fzyLlM5uSvCcAVRH1l/+WC3LL9mgZCfa/SLJnWxrYW0=,0x5831a5bc2b6e683bcb8e392453a85c5e7f755aa700e827ed9c3e1c6d67fb2a96,World Republic,41045531,181,True
bDxpkfd5t/ov2xAQJgRxa1+8NHWM85j0W90gc6Nls1c=,0xda8c593717693ef30f5c62fc2689709784324cfb9b5fe92c9db3a47f596791e5,Morpho ,37579699,181,True
fN+LFwTxCdNTzXYD1xfU/hGSxIMv9/pSE/AQlo7GzVM=,0xf4e56e0c6654d6ef621191708f27ee20242462f541d3e79dc5512e1a10d90736,Eggs Vault,37208497,181,True
R4eXUAwv/M942HnT5QyZz9Cfr+lEDzMyzUCWb0wYf6M=,0x00d5eaebec0fa6a41bbf5e29d347162dabc04dfffcd188663fc16393a5d9917a,The Box,31152505,181,True
w+FeC9LaSioC997OmTLYF04BpdvSHmhmMi1GtrwSGW8=,0x738c0967c0f70a0a78d8794dcf2c40540f60ea9568e163dd5826b85e8e2a9a79,Enso Build,29804584,181,True
vjoXOz73a3rwq13dz8X/yzt/y+Jfw2YfZry75TcLI98=,0x7d5bcf0b123ca5611f1bb0c889816753cc215b0a230849c8464c6c2a08c4eddc,FLAG!,23734201,176,True
